2026/1/17

LeNet5: lr = 0.0049
1 {'accuracy': 0.147, 'loss': 2.2966634088261113}
2 {'accuracy': 0.3511, 'loss': 2.273516158389438}
3 {'accuracy': 0.6762, 'loss': 1.4628600390853397}
4 {'accuracy': 0.8588, 'loss': 0.48516307064112585}
5 {'accuracy': 0.8912, 'loss': 0.3741164031159726}
6 {'accuracy': 0.8939, 'loss': 0.36052422726135347}
7 {'accuracy': 0.9143, 'loss': 0.2868418675390588}
8 {'accuracy': 0.9214, 'loss': 0.25824451613815347}
9 {'accuracy': 0.9331, 'loss': 0.22097217771491617}
10 {'accuracy': 0.9355, 'loss': 0.21693148096774223}
11 {'accuracy': 0.9311, 'loss': 0.21403267622516034}
12 {'accuracy': 0.9437, 'loss': 0.18251774245932414}
13 {'accuracy': 0.9441, 'loss': 0.17449648442209525}
14 {'accuracy': 0.9492, 'loss': 0.15791081595026954}
15 {'accuracy': 0.9507, 'loss': 0.16187667445380502}
16 {'accuracy': 0.9574, 'loss': 0.13652860344785034}
17 {'accuracy': 0.9483, 'loss': 0.15500419621895642}
18 {'accuracy': 0.9622, 'loss': 0.12345527335230237}
19 {'accuracy': 0.9619, 'loss': 0.12245154567804353}
20 {'accuracy': 0.9658, 'loss': 0.10837136098453597}
21 {'accuracy': 0.9652, 'loss': 0.11364499883649123}
22 {'accuracy': 0.9658, 'loss': 0.10645928557377878}
23 {'accuracy': 0.9698, 'loss': 0.09953937205563115}
24 {'accuracy': 0.9686, 'loss': 0.09725364734148785}
25 {'accuracy': 0.9708, 'loss': 0.09152163024383722}
26 {'accuracy': 0.9668, 'loss': 0.11055182608639359}
27 {'accuracy': 0.9724, 'loss': 0.0852912270206703}
28 {'accuracy': 0.9683, 'loss': 0.0937539578395433}
29 {'accuracy': 0.9707, 'loss': 0.09039949219018387}
30 {'accuracy': 0.9719, 'loss': 0.08972376401708194}
31 {'accuracy': 0.9754, 'loss': 0.07783745512163125}
32 {'accuracy': 0.9751, 'loss': 0.07782970495658457}
33 {'accuracy': 0.9751, 'loss': 0.07452957852203014}
34 {'accuracy': 0.9764, 'loss': 0.07412535137538413}
35 {'accuracy': 0.9744, 'loss': 0.08306238459234844}
36 {'accuracy': 0.9768, 'loss': 0.07325832847936618}
37 {'accuracy': 0.9776, 'loss': 0.07176569605225425}
38 {'accuracy': 0.9762, 'loss': 0.07453277294381647}
39 {'accuracy': 0.9804, 'loss': 0.06410984804236128}
40 {'accuracy': 0.9805, 'loss': 0.061066101233817484}
41 {'accuracy': 0.9757, 'loss': 0.07514398533700384}
42 {'accuracy': 0.9792, 'loss': 0.0669007277585919}
43 {'accuracy': 0.9792, 'loss': 0.06538247915483851}
44 {'accuracy': 0.9812, 'loss': 0.05862070000148378}
45 {'accuracy': 0.9803, 'loss': 0.05978925193561342}
46 {'accuracy': 0.9823, 'loss': 0.057731954405246644}
47 {'accuracy': 0.9817, 'loss': 0.057922702021844935}
48 {'accuracy': 0.9798, 'loss': 0.06534169129838212}
49 {'accuracy': 0.9795, 'loss': 0.0666905385648771}
50 {'accuracy': 0.9812, 'loss': 0.05748969653345479}

CNN: lr = 0.0049
1 {'accuracy': 0.8523, 'loss': 0.5350020536381728}
2 {'accuracy': 0.9016, 'loss': 0.32546866153645665}
3 {'accuracy': 0.9278, 'loss': 0.24544888246021454}
4 {'accuracy': 0.9385, 'loss': 0.20833784014366236}
5 {'accuracy': 0.9527, 'loss': 0.16569435381431394}
6 {'accuracy': 0.9587, 'loss': 0.13766604639993163}
7 {'accuracy': 0.9559, 'loss': 0.1368855310776004}
8 {'accuracy': 0.9684, 'loss': 0.1090601413350576}
9 {'accuracy': 0.9714, 'loss': 0.09803503187622424}
10 {'accuracy': 0.9692, 'loss': 0.09527804477994514}
11 {'accuracy': 0.9761, 'loss': 0.08447286143979046}
12 {'accuracy': 0.9764, 'loss': 0.08016619537467623}
13 {'accuracy': 0.9765, 'loss': 0.07766008871803239}
14 {'accuracy': 0.9773, 'loss': 0.0808128592013945}
15 {'accuracy': 0.9781, 'loss': 0.07197128675186971}
16 {'accuracy': 0.9787, 'loss': 0.06963242844242461}
17 {'accuracy': 0.9805, 'loss': 0.0636291624755735}
18 {'accuracy': 0.9791, 'loss': 0.06465410304650261}
19 {'accuracy': 0.9792, 'loss': 0.06553660622860193}
20 {'accuracy': 0.9836, 'loss': 0.05665514338835718}
21 {'accuracy': 0.981, 'loss': 0.05870253408133426}
22 {'accuracy': 0.9847, 'loss': 0.05245354247819276}
23 {'accuracy': 0.9825, 'loss': 0.056756411180987204}
24 {'accuracy': 0.9826, 'loss': 0.05591535038473441}
25 {'accuracy': 0.983, 'loss': 0.05248665616100144}
26 {'accuracy': 0.986, 'loss': 0.04760179116081441}
27 {'accuracy': 0.9849, 'loss': 0.04748309434522804}
